timestamp,name,categories,zone,alert,gender,gender_conf,age_bucket,detection_type
2026-07-08 13:00:32,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:32,Unknown,,Cloth Section,,,,,person
2026-07-08 13:00:33,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:33,Unknown,,Cloth Section,,,,,person
2026-07-08 13:00:34,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:34,Unknown,,Cloth Section,,,,,person
2026-07-08 13:00:35,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:35,Unknown,,Cloth Section,,,,,person
2026-07-08 13:00:36,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:36,Unknown,,Cloth Section,,,,,person
2026-07-08 13:00:37,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:37,Unknown,,Cloth Section,,,,,person
2026-07-08 13:00:38,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:38,Unknown,,Cloth Section,,,,,person
2026-07-08 13:00:39,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:39,Unknown,,Cloth Section,,,,,person
2026-07-08 13:00:40,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:41,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:42,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:43,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:44,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:45,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:46,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:47,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:48,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:49,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:50,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:51,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:52,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:53,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:53,Unknown,,Cloth Section,,,,,person
2026-07-08 13:00:54,Unknown,,Crowd1,,,,,person
2026-07-08 13:00:54,Unknown,,Cloth Section,,,,,person
2026-07-08 13:00:55,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:28,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:28,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:29,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:29,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:30,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:30,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:31,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:32,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:33,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:33,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:34,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:35,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:36,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:37,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:38,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:39,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:40,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:41,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:42,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:42,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:43,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:43,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:44,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:44,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:45,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:46,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:46,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:47,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:47,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:48,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:48,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:49,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:49,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:50,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:50,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:51,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:51,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:52,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:52,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:53,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:53,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:54,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:54,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:55,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:55,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:56,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:56,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:57,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:57,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:58,Unknown,,Crowd1,,,,,person
2026-07-08 16:25:58,Unknown,,Cloth Section,,,,,person
2026-07-08 16:25:59,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:00,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:00,Unknown,,Cloth Section,,,,,person
2026-07-08 16:26:01,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:01,Unknown,,Cloth Section,,,,,person
2026-07-08 16:26:02,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:02,Unknown,,Cloth Section,,,,,person
2026-07-08 16:26:03,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:03,Unknown,,Cloth Section,,,,,person
2026-07-08 16:26:04,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:04,Unknown,,Cloth Section,,,,,person
2026-07-08 16:26:05,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:06,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:06,Unknown,,Cloth Section,,,,,person
2026-07-08 16:26:07,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:08,Unknown,,Crowd1,,,,,person
2026-07-08 16:26:08,Unknown,,Cloth Section,,,,,person
